epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,52.259552580013064,67.80800947093402,59.495427824951015,51.965725806451616,77.97379032258064,68.04435483870968
2,53.29747713912476,76.08997387328543,82.2083197256695,52.520161290322584,78.62903225806451,98.18548387096774
3,53.645493141737425,76.64924885695623,97.66288373612018,53.17540322580645,78.83064516129032,98.4375
4,53.49240692357936,77.66472077073809,98.30074297844546,52.11693548387097,79.18346774193549,99.04233870967742
5,53.692439581972565,78.32809438275636,98.62528576094056,51.61290322580645,80.34274193548387,99.14314516129032
6,54.164965708687134,79.41704768125408,98.87124428478118,54.38508064516129,80.69556451612904,98.7399193548387
7,55.292700849118226,82.82066459830176,99.01106303069889,56.45161290322581,85.68548387096774,99.04233870967742
8,58.29114957544089,87.35916067929458,99.17843729588505,60.43346774193548,92.69153225806451,99.19354838709677
9,61.0273105813194,93.75612344872633,99.23967178314827,61.49193548387097,94.70766129032258,98.94153225806451
10,62.760246570868716,95.80441704768126,99.29580339647289,61.13911290322581,95.6149193548387,99.59677419354838
11,64.12883736120183,96.8994937949053,99.28763879817113,64.41532258064517,96.27016129032258,99.49596774193549
12,66.47309764859568,97.43835728282168,99.32029719137819,66.8850806451613,96.875,99.09274193548387
13,67.91516982364467,97.69350097975179,99.37030535597648,67.38911290322581,96.7741935483871,99.29435483870968
14,69.46950522534291,97.98844709340301,99.40296374918354,68.09475806451613,97.1774193548387,99.19354838709677
15,71.31674559111691,98.20685009797518,99.48767145656434,69.80846774193549,97.73185483870968,99.49596774193549
16,73.178274003919,98.38238896146309,99.5009389288047,70.76612903225806,97.58064516129032,99.34475806451613
17,74.64483997387329,98.52526943174396,99.45399248856957,72.78225806451613,96.9758064516129,99.09274193548387
18,76.01241018941867,98.58038047028086,99.55298824297844,73.48790322580645,96.875,98.79032258064517
19,77.1115692357936,98.79572175048988,99.54482364467668,72.88306451612904,97.63104838709677,98.68951612903226
20,78.05151861528412,98.77837197909862,99.5907495101241,72.58064516129032,97.98387096774194,99.54637096774194
21,79.12210156760287,98.8967586544742,99.5754408883083,74.8991935483871,97.73185483870968,99.29435483870968
22,80.20595199216199,98.98452808621816,99.61728445460483,76.05846774193549,97.58064516129032,99.64717741935483
23,81.11732527759634,99.00698073154801,99.61116100587851,75.85685483870968,97.88306451612904,99.44556451612904
24,81.90112671456565,99.08862671456565,99.65402514696277,75.35282258064517,97.12701612903226,99.54637096774194
25,82.62165251469628,99.16516982364467,99.64177824951012,75.60483870967742,97.93346774193549,99.24395161290323
